model,checkpoint,seed,probe_recall,current_recall
ReplayLinear(200),200,4,0.03,0.0
ReplayLinear(200),300,4,0.05,0.0
ReplayLinear(200),400,4,0.05,0.0
ReplayLinear(200),500,4,0.05,0.0
ReplayLinear(200),600,4,0.03,0.0
ReplayLinear(200),700,4,0.05,0.0
ReplayLinear(200),800,4,0.05,0.0
ReplayLinear(200),900,4,0.05,0.0
ReplayLinear(200),1000,4,0.06,0.0
MLP1(128),100,0,0.04,0.04
MLP1(128),200,0,0.0,0.01
MLP1(128),300,0,0.01,0.01
MLP1(128),400,0,0.0,0.01
MLP1(128),500,0,0.0,0.0
MLP1(128),600,0,0.0,0.0
MLP1(128),700,0,0.0,0.0
MLP1(128),800,0,0.0,0.01
MLP1(128),900,0,0.0,0.0
MLP1(128),1000,0,0.0,0.01
MLP1(128),100,1,0.03,0.03
MLP1(128),200,1,0.01,0.01
MLP1(128),300,1,0.0,0.01
MLP1(128),400,1,0.0,0.0
MLP1(128),500,1,0.0,0.02
MLP1(128),600,1,0.0,0.01
MLP1(128),700,1,0.0,0.01
MLP1(128),800,1,0.0,0.0
MLP1(128),900,1,0.0,0.0
MLP1(128),1000,1,0.0,0.01
MLP1(128),100,2,0.04,0.04
MLP1(128),200,2,0.0,0.01
MLP1(128),300,2,0.0,0.01
MLP1(128),400,2,0.0,0.0
MLP1(128),500,2,0.0,0.0
MLP1(128),600,2,0.0,0.0
MLP1(128),700,2,0.0,0.01
MLP1(128),800,2,0.0,0.0
MLP1(128),900,2,0.0,0.01
MLP1(128),1000,2,0.0,0.01
MLP1(128),100,3,0.01,0.01
MLP1(128),200,3,0.03,0.0
MLP1(128),300,3,0.03,0.0
MLP1(128),400,3,0.0,0.01
MLP1(128),500,3,0.02,0.01
MLP1(128),600,3,0.01,0.01
MLP1(128),700,3,0.01,0.01
MLP1(128),800,3,0.0,0.01
MLP1(128),900,3,0.0,0.01
MLP1(128),1000,3,0.0,0.0
MLP1(128),100,4,0.01,0.01
MLP1(128),200,4,0.0,0.01
MLP1(128),300,4,0.0,0.01
MLP1(128),400,4,0.01,0.01
MLP1(128),500,4,0.0,0.0
MLP1(128),600,4,0.0,0.01
MLP1(128),700,4,0.0,0.0
MLP1(128),800,4,0.0,0.01
MLP1(128),900,4,0.0,0.01
MLP1(128),1000,4,0.0,0.01
"ReplayMLP1(128, 200)",100,0,0.01,0.01
"ReplayMLP1(128, 200)",200,0,0.01,0.0
"ReplayMLP1(128, 200)",300,0,0.02,0.0
"ReplayMLP1(128, 200)",400,0,0.01,0.0
"ReplayMLP1(128, 200)",500,0,0.01,0.0
"ReplayMLP1(128, 200)",600,0,0.01,0.0
