collision_mode,space,N,seed,method,recall,recall_per_vector,mean_delta,mean_margin,p5_margin,p1_margin,mean_class_dispersion,mean_intra_dist,mean_inter_dist,mean_lcomp_ratio,mean_proto_bias,mean_silhouette
False,raw_384d,5,42,Prototype,1.0,1.0,3.263018989562988,3.263018989562988,1.732197380065918,1.6999009323120118,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.0
False,raw_384d,5,42,1-NN,1.0,0.1,3.549725341796875,3.549725341796875,2.1606908798217774,2.1534890365600585,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.0
False,raw_384d,5,42,k-NN_3,1.0,0.1,3.549725341796875,3.549725341796875,2.1606908798217774,2.1534890365600585,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.0
False,raw_384d,5,42,k-NN_5,1.0,0.1,3.549725341796875,3.549725341796875,2.1606908798217774,2.1534890365600585,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.0
False,raw_384d,5,42,Multi-Proto_2,1.0,0.5,3.2383707046508787,3.2383707046508787,1.7927762985229492,1.7324169540405274,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.20381560993323267
False,raw_384d,5,42,Multi-Proto_3,1.0,0.3333333333333333,3.281031036376953,3.281031036376953,0.985087013244629,0.7290181350708008,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.20381560993323267
False,raw_384d,5,42,Oracle,1.0,0.1,3.549725341796875,3.549725341796875,2.1606908798217774,2.1534890365600585,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.0
False,raw_384d,5,101,Prototype,1.0,1.0,3.263018989562988,3.263018989562988,1.732197380065918,1.6999009323120118,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.0
False,raw_384d,5,101,1-NN,1.0,0.1,3.549725341796875,3.549725341796875,2.1606908798217774,2.1534890365600585,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.0
False,raw_384d,5,101,k-NN_3,1.0,0.1,3.549725341796875,3.549725341796875,2.1606908798217774,2.1534890365600585,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.0
False,raw_384d,5,101,k-NN_5,1.0,0.1,3.549725341796875,3.549725341796875,2.1606908798217774,2.1534890365600585,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.0
False,raw_384d,5,101,Multi-Proto_2,1.0,0.5,3.2383707046508787,3.2383707046508787,1.7927762985229492,1.7324169540405274,6.040247249603271,8.999957466125489,16.057422637939453,1.0564513122047576,-1.6676179885864257,0.20381560993323267
