seed,experiment,config,alpha_decay,u2_enabled,replay_buffer_size,num_facts,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec
42,capacity_wall,num_facts=5,0.02,True,0,5,0.4,0.4,3.2199397683143616,0.009921343997120857,0.0023259588051587343,0.009999984875321388,0.2049241065979004
101,capacity_wall,num_facts=5,0.02,True,0,5,0.6,0.4,3.416360706090927,0.009924361482262611,0.003119012340903282,0.00999998115003109,0.14635753631591797
202,capacity_wall,num_facts=5,0.02,True,0,5,0.2,0.8,3.580684721469879,0.009929429739713669,0.0040791393257677555,0.009999977424740791,0.1429147720336914
303,capacity_wall,num_facts=5,0.02,True,0,5,0.2,0.8,3.5279036462306976,0.009920892305672169,0.003048841841518879,0.009999977424740791,0.1790001392364502
404,capacity_wall,num_facts=5,0.02,True,0,5,0.2,0.8,3.5350491106510162,0.00992767233401537,0.0035081373061984777,0.009999977424740791,0.16038107872009277
505,capacity_wall,num_facts=5,0.02,True,0,5,0.2,0.8,3.60837659239769,0.009925284422934055,0.0028099759947508574,0.009999977424740791,0.14192605018615723
606,capacity_wall,num_facts=5,0.02,True,0,5,0.2,0.8,3.5651365220546722,0.009926248341798782,0.0033228485845029354,0.009999994188547134,0.14260554313659668
707,capacity_wall,num_facts=5,0.02,True,0,5,0.6,0.20000000000000007,3.7526773512363434,0.009923696517944336,0.003379085334017873,0.009999977424740791,0.14578938484191895
808,capacity_wall,num_facts=5,0.02,True,0,5,0.4,0.6,3.259736806154251,0.009926105849444866,0.003282746998593211,0.009999986737966537,0.14050722122192383
909,capacity_wall,num_facts=5,0.02,True,0,5,0.4,0.6,3.2782812118530273,0.00992694403976202,0.0036470196209847927,0.009999990463256836,0.14243650436401367
42,capacity_wall,num_facts=10,0.02,True,0,10,0.1,0.9,3.8607553243637085,0.009895249269902706,0.0029273726977407932,0.009999977424740791,0.32831311225891113
101,capacity_wall,num_facts=10,0.02,True,0,10,0.3,0.7,3.8141679763793945,0.009888870641589165,0.003021355252712965,0.009999977424740791,0.28877854347229004
202,capacity_wall,num_facts=10,0.02,True,0,10,0.1,0.9,4.0038716197013855,0.009893136098980904,0.002536124549806118,0.009999977424740791,0.28553175926208496
303,capacity_wall,num_facts=10,0.02,True,0,10,0.3,0.6000000000000001,4.053507149219513,0.009896618314087391,0.003471122123301029,0.009999977424740791,0.28287291526794434
404,capacity_wall,num_facts=10,0.02,True,0,10,0.2,0.8,4.117829084396362,0.009898061864078045,0.0034045628271996975,0.009999974630773067,0.28075695037841797
505,capacity_wall,num_facts=10,0.02,True,0,10,0.1,0.9,3.969247877597809,0.009886704385280609,0.0022651152685284615,0.009999977424740791,0.28917932510375977
606,capacity_wall,num_facts=10,0.02,True,0,10,0.3,0.7,3.906979024410248,0.009894383139908314,0.002521816175431013,0.009999977424740791,0.28604984283447266
707,capacity_wall,num_facts=10,0.02,True,0,10,0.2,0.7,4.10199648141861,0.009893757291138172,0.0024383922573179007,0.009999977424740791,0.29132580757141113
808,capacity_wall,num_facts=10,0.02,True,0,10,0.2,0.8,4.078720331192017,0.009896159172058105,0.002576532308012247,0.009999977424740791,0.28464579582214355
909,capacity_wall,num_facts=10,0.02,True,0,10,0.1,0.9,3.742829918861389,0.009894831106066704,0.002657806035131216,0.009999977424740791,0.2899596691131592
42,capacity_wall,num_facts=20,0.02,True,0,20,0.05,0.95,4.656509280204773,0.009880881756544113,0.0027709801215678453,0.009999977424740791,0.6112518310546875
101,capacity_wall,num_facts=20,0.02,True,0,20,0.05,0.95,4.629664301872253,0.00987972877919674,0.0027980345766991377,0.009999977424740791,0.5651674270629883
202,capacity_wall,num_facts=20,0.02,True,0,20,0.05,0.95,4.615829586982727,0.009881006553769112,0.0024630497209727764,0.009999977424740791,0.575495719909668
303,capacity_wall,num_facts=20,0.02,True,0,20,0.05,0.95,4.606940746307373,0.009884072467684746,0.0028424328193068504,0.009999977424740791,0.5766234397888184
404,capacity_wall,num_facts=20,0.02,True,0,20,0.05,0.95,4.568942666053772,0.009880095720291138,0.002231153193861246,0.009999977424740791,0.5753118991851807
505,capacity_wall,num_facts=20,0.02,True,0,20,0.05,0.95,4.215882182121277,0.009878604672849178,0.0024778121151030064,0.009999977424740791,0.5725476741790771
