seed,experiment,config,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec
42,u2_ablation,u2_enabled=True,0.4,0.19999999999999996,1.9991344809532166,0.004684635903686285,0.0007828224916011095,0.009053087793290615,7.029397010803223
101,u2_ablation,u2_enabled=True,0.2,0.0,1.95971018075943,0.00522563187405467,0.0007919785566627979,0.009778513573110104,6.057223320007324
202,u2_ablation,u2_enabled=True,0.4,0.0,1.9414651840925217,0.005060446914285421,0.000783778727054596,0.009792851284146309,5.862926721572876
303,u2_ablation,u2_enabled=True,0.4,0.19999999999999996,2.0695594251155853,0.005080074071884155,0.0007831216207705438,0.00966325681656599,5.895575761795044
404,u2_ablation,u2_enabled=True,0.2,0.39999999999999997,1.9068488627672195,0.00540059432387352,0.0007779739098623395,0.009877887554466724,5.915297031402588
505,u2_ablation,u2_enabled=True,0.4,0.6,1.9342266917228699,0.0053643761202692986,0.0007789776427671313,0.009961053729057312,5.90713095664978
606,u2_ablation,u2_enabled=True,0.6,0.0,1.9676209688186646,0.004972781520336866,0.0007902905344963074,0.009873716160655022,5.967116355895996
707,u2_ablation,u2_enabled=True,0.0,0.4,1.7513487040996552,0.005551253445446491,0.000764717347919941,0.00970643199980259,6.266559362411499
808,u2_ablation,u2_enabled=True,0.6,0.20000000000000007,1.7198918908834457,0.005399465560913086,0.0007660815608687699,0.009789437986910343,6.0626890659332275
909,u2_ablation,u2_enabled=True,0.4,0.0,1.8007055073976517,0.005229769740253687,0.0007676214445382357,0.009647171944379807,6.147082090377808
42,u2_ablation,u2_enabled=False,0.6,-0.39999999999999997,3.152260035276413,0.004983318503946066,0.0007974475738592446,0.009666627272963524,6.1037023067474365
101,u2_ablation,u2_enabled=False,0.4,-0.2,3.1436198353767395,0.005008191801607609,0.000803354661911726,0.009858904406428337,6.363867998123169
202,u2_ablation,u2_enabled=False,0.4,0.0,2.976801723241806,0.005499385762959719,0.0007928263512440026,0.00991011317819357,6.030456304550171
303,u2_ablation,u2_enabled=False,0.4,0.0,3.223916858434677,0.0049116890877485275,0.0007876426680013537,0.009709245525300503,6.196364879608154
404,u2_ablation,u2_enabled=False,0.6,0.0,3.0558605790138245,0.005238156765699387,0.0007613170892000198,0.00988742709159851,6.034671068191528
505,u2_ablation,u2_enabled=False,0.8,-0.20000000000000007,3.304389923810959,0.0048859925009310246,0.0007939630304463208,0.009365509264171124,5.842383861541748
606,u2_ablation,u2_enabled=False,0.4,0.0,3.3765293657779694,0.0051554604433476925,0.0007897159084677696,0.009962460026144981,5.942612409591675
707,u2_ablation,u2_enabled=False,0.2,0.0,3.1163714230060577,0.005495603196322918,0.0007764282636344433,0.009670362807810307,6.021092891693115
808,u2_ablation,u2_enabled=False,0.6,0.0,3.280114531517029,0.005404937546700239,0.0007781469030305743,0.009873496368527412,6.034924030303955
909,u2_ablation,u2_enabled=False,0.6,-0.19999999999999996,3.1434658467769623,0.005055547691881657,0.0007790924282744527,0.009734797291457653,5.871562242507935
