alpha_decay,step,phase,var_mean,var_median,var_min,var_max
0.001,53,training_fact_4_step_8,0.0035701312590390444,0.00238446774892509,9.999999747378752e-05,0.00987278763204813
0.001,54,training_fact_4_step_9,0.0033997276332229376,0.0022924847435206175,9.999999747378752e-05,0.00984837394207716
0.001,55,training_fact_4_step_10,0.003262363374233246,0.002217262051999569,9.999999747378752e-05,0.00984545424580574
0.001,56,training_fact_4_step_11,0.003230225993320346,0.0022102189250290394,9.999999747378752e-05,0.009845069609582424
0.001,57,training_fact_4_step_12,0.003191588446497917,0.002164919627830386,9.999999747378752e-05,0.009843690320849419
0.001,58,training_fact_4_step_13,0.003111186670139432,0.0020270177628844976,9.999999747378752e-05,0.009836164303123951
0.001,59,training_fact_4_step_14,0.003039082745090127,0.0019456264562904835,9.999999747378752e-05,0.009822999127209187
0.001,60,training_fact_4_step_15,0.002955616684630513,0.0018048238707706332,9.999999747378752e-05,0.009819881059229374
0.001,61,training_fact_5_step_1,0.002787899225950241,0.0016745920293033123,9.999999747378752e-05,0.009697611443698406
0.001,62,training_fact_5_step_2,0.0026799235492944717,0.0016138517530635,9.999999747378752e-05,0.00955913681536913
0.001,63,training_fact_5_step_3,0.00264614331535995,0.0016064220108091831,9.999999747378752e-05,0.009517244063317776
0.001,64,training_fact_5_step_4,0.0026321373879909515,0.0016020032344385982,9.999999747378752e-05,0.009515756741166115
0.001,65,training_fact_5_step_5,0.0026219349820166826,0.001566359307616949,9.999999747378752e-05,0.009516103193163872
0.001,66,training_fact_5_step_6,0.0026021183002740145,0.0015170867554843426,9.999999747378752e-05,0.009500503540039062
0.001,67,training_fact_5_step_7,0.0025629084557294846,0.0014618253335356712,9.999999747378752e-05,0.009450896643102169
0.001,68,training_fact_5_step_8,0.0024386888835579157,0.0013786331983283162,9.999999747378752e-05,0.009174487553536892
0.001,69,training_fact_5_step_9,0.002386372769251466,0.001374195097014308,9.999999747378752e-05,0.008792737498879433
0.001,70,training_fact_5_step_10,0.0023417735937982798,0.0013312037335708737,9.999999747378752e-05,0.008751818910241127
0.001,71,training_fact_5_step_11,0.002263228874653578,0.0012784398859366775,9.999999747378752e-05,0.008732630871236324
0.001,72,training_fact_5_step_12,0.002153240144252777,0.0012369395699352026,9.999999747378752e-05,0.00865076668560505
0.001,73,training_fact_5_step_13,0.002071727067232132,0.0011994473170489073,9.999999747378752e-05,0.00860870536416769
0.001,74,training_fact_5_step_14,0.0020188025664538145,0.0011794045567512512,9.999999747378752e-05,0.00860329158604145
0.001,75,training_fact_5_step_15,0.0019631513860076666,0.0011661063181236386,9.999999747378752e-05,0.008604428730905056
0.001,76,rest_step_1,0.001971188234165311,0.001174940261989832,0.00010990000009769574,0.00860582385212183
0.001,77,rest_step_2,0.001979217166081071,0.0011837653582915664,0.00011979010014329106,0.00860721804201603
0.001,78,rest_step_3,0.001987237948924303,0.001192581607028842,0.0001296703121624887,0.00860861036926508
0.001,79,rest_step_4,0.001995250815525651,0.0012013890082016587,0.00013954064343124628,0.008610001765191555
0.001,80,rest_step_5,0.002003255533054471,0.0012101875618100166,0.00014940110850147903,0.008611391298472881
0.001,81,rest_step_6,0.002011252334341407,0.0012189773842692375,0.00015925170737318695,0.008612779900431633
0.001,82,rest_step_7,0.0020192409865558147,0.0012277583591639996,0.00016909245459828526,0.00861416757106781
0.001,83,rest_step_8,0.0020272217225283384,0.0012365306029096246,0.0001789233647286892,0.008615553379058838
0.001,84,rest_step_9,0.002035194542258978,0.0012452941155061126,0.00018874443776439875,0.008616938255727291
0.001,85,rest_step_10,0.002043159445747733,0.0012540487805381417,0.00019855568825732917,0.008618321269750595
0.001,86,rest_step_11,0.0020511162001639605,0.0012627947144210339,0.00020835713075939566,0.008619703352451324
0.001,87,rest_step_12,0.0020590650383383036,0.001271531917154789,0.00021814877982251346,0.008621083572506905
0.001,88,rest_step_13,0.0020670059602707624,0.001280260388739407,0.00022793063544668257,0.00862246286123991
0.001,89,rest_step_14,0.002074938965961337,0.0012889801291748881,0.00023770271218381822,0.008623840287327766
0.001,90,rest_step_15,0.002082863822579384,0.0012976911384612322,0.0002474650100339204,0.008625216782093048
0.001,91,rest_step_16,0.0020907812286168337,0.0013063934165984392,0.0002572175581008196,0.00862659141421318
0.001,92,rest_step_17,0.0020986904855817556,0.001315087080001831,0.0002669603272806853,0.008627965115010738
0.001,93,rest_step_18,0.0021065918263047934,0.0013237720122560859,0.0002766933757811785,0.008629336953163147
0.001,94,rest_step_19,0.002114485250785947,0.0013324482133612037,0.00028641667449846864,0.008630707859992981
0.001,95,rest_step_20,0.0021223705261945724,0.0013411157997325063,0.00029613025253638625,0.008632076904177666
0.001,96,rest_step_21,0.002130248351022601,0.0013497746549546719,0.0003058341098949313,0.008633445017039776
0.001,97,rest_step_22,0.002138118026778102,0.0013584248954430223,0.0003155282756779343,0.008634811267256737
0.001,98,rest_step_23,0.0021459797862917185,0.0013670665211975574,0.00032521274988539517,0.008636176586151123
0.001,99,rest_step_24,0.002153834095224738,0.0013756994158029556,0.00033488753251731396,0.00863754004240036
0.001,100,rest_step_25,0.00216168025508523,0.0013843236956745386,0.0003445526526775211,0.008638902567327023
0.001,101,rest_step_26,0.0021695182658731937,0.0013929393608123064,0.0003542081103660166,0.008640263229608536
0.001,102,rest_step_27,0.0021773490589112043,0.001401546411216259,0.0003638539055828005,0.008641622960567474
0.001,103,rest_step_28,0.0021851714700460434,0.0014101448468863964,0.00037349003832787275,0.008642981760203838
0.001,104,rest_step_29,0.002192986197769642,0.0014187346678227186,0.0003831165377050638,0.008644338697195053
0.001,105,rest_step_30,0.0022007934749126434,0.0014273159904405475,0.00039273343281820416,0.008645694702863693
0.001,106,interference_1_step_1,0.002122953301295638,0.0013799130683764815,0.0003256856289226562,0.008616181090474129
0.001,107,interference_1_step_2,0.002071971073746681,0.0013357028365135193,0.00027142505859956145,0.008551572449505329
0.001,108,interference_1_step_3,0.0020355170127004385,0.0013183577684685588,0.0002276993909617886,0.008546560071408749
0.001,109,interference_1_step_4,0.002010105177760124,0.001303331577219069,0.00019240312394686043,0.00854470394551754
0.001,110,interference_1_step_5,0.0019828956574201584,0.0012754220515489578,0.0001644468429731205,0.008540786802768707
0.001,111,interference_1_step_6,0.0019646980799734592,0.0012568160891532898,0.00015043759776744992,0.008523677475750446
0.001,112,interference_1_step_7,0.0019510576967149973,0.0012304444098845124,0.00012498143769335002,0.008520914241671562
0.001,113,interference_1_step_8,0.0019407712388783693,0.0012066422495990992,0.00010364234185544774,0.0085177356377244
0.001,114,interference_1_step_9,0.0019278392428532243,0.001193421077914536,9.999999747378752e-05,0.008509104140102863
0.001,115,interference_1_step_10,0.0019205301068723202,0.0011940972181037068,9.999999747378752e-05,0.00851052813231945
0.001,116,interference_1_step_11,0.0019100940553471446,0.0011942671844735742,9.999999747378752e-05,0.008505737408995628
0.001,117,interference_1_step_12,0.0019020505715161562,0.0011944151483476162,9.999999747378752e-05,0.008501067757606506
0.001,118,interference_1_step_13,0.0019002847839146852,0.0012005195021629333,9.999999747378752e-05,0.008499901741743088
0.001,119,interference_1_step_14,0.0018790023168548942,0.001198029494844377,9.999999747378752e-05,0.008494284935295582
0.001,120,interference_1_step_15,0.0018674302846193314,0.001186245703138411,9.999999747378752e-05,0.008491269312798977
0.001,121,interference_2_step_1,0.0018160814652219415,0.00113397603854537,9.999999747378752e-05,0.008457197807729244
0.001,122,interference_2_step_2,0.0017367945984005928,0.0010714784730225801,9.999999747378752e-05,0.008029845543205738
0.001,123,interference_2_step_3,0.0015991365071386099,0.0009986079530790448,9.999999747378752e-05,0.007549552712589502
0.001,124,interference_2_step_4,0.001546734245494008,0.0009723848197609186,9.999999747378752e-05,0.007016955409198999
0.001,125,interference_2_step_5,0.0015078498981893063,0.0009770112810656428,9.999999747378752e-05,0.00687385955825448
0.001,126,interference_2_step_6,0.0014734748983755708,0.0009740908863022923,9.999999747378752e-05,0.0068650394678115845
0.001,127,interference_2_step_7,0.001435980200767517,0.0009749441524036229,9.999999747378752e-05,0.0065931156277656555
0.001,128,interference_2_step_8,0.0013752356171607971,0.000952008122112602,9.999999747378752e-05,0.0062219323590397835
0.001,129,interference_2_step_9,0.0013562809908762574,0.0009366750600747764,9.999999747378752e-05,0.006223910488188267
0.001,130,interference_2_step_10,0.0013460871996358037,0.0009381734416820109,9.999999747378752e-05,0.00622766325250268
0.001,131,interference_2_step_11,0.0013313753297552466,0.0009296468924731016,9.999999747378752e-05,0.006228920072317123
0.001,132,interference_2_step_12,0.001328718033619225,0.0009304521372541785,9.999999747378752e-05,0.006232298444956541
0.001,133,interference_2_step_13,0.0013080438366159797,0.0009109909879043698,9.999999747378752e-05,0.006231299135833979
0.001,134,interference_2_step_14,0.0012937641004100442,0.0008940077386796474,9.999999747378752e-05,0.006231144070625305
0.001,135,interference_2_step_15,0.0012925199698656797,0.0008865075069479644,9.999999747378752e-05,0.00623108958825469
0.001,136,interference_3_step_1,0.0012296049389988184,0.0008318893960677087,9.999999747378752e-05,0.006127328611910343
0.001,137,interference_3_step_2,0.0011720833135768771,0.0007767580100335181,9.999999747378752e-05,0.006080703344196081
0.001,138,interference_3_step_3,0.0011094801593571901,0.0007319303113035858,9.999999747378752e-05,0.0056641907431185246
0.001,139,interference_3_step_4,0.0010764009784907103,0.0007209712639451027,9.999999747378752e-05,0.005602870602160692
0.001,140,interference_3_step_5,0.0010549330618232489,0.000713197747245431,9.999999747378752e-05,0.005573251284658909
0.001,141,interference_3_step_6,0.0010272602085024118,0.0006886772462166846,9.999999747378752e-05,0.005569974891841412
0.001,142,interference_3_step_7,0.0010227883467450738,0.0006809761980548501,9.999999747378752e-05,0.0055739725939929485
0.001,143,interference_3_step_8,0.0010196140501648188,0.0006711827591061592,9.999999747378752e-05,0.00557415746152401
0.001,144,interference_3_step_9,0.0010116848861798644,0.0006525557837449014,9.999999747378752e-05,0.005575321149080992
0.001,145,interference_3_step_10,0.0010115710319951177,0.0006458963616751134,9.999999747378752e-05,0.00557256955653429
0.001,146,interference_3_step_11,0.0010108754504472017,0.0006425424944609404,9.999999747378752e-05,0.005576680414378643
0.001,147,interference_3_step_12,0.0010167057625949383,0.000649882189463824,9.999999747378752e-05,0.005580138880759478
0.001,148,interference_3_step_13,0.0010141467209905386,0.0006484828772954643,9.999999747378752e-05,0.005580546334385872
0.001,149,interference_3_step_14,0.0010165515122935176,0.0006520992028526962,9.999999747378752e-05,0.005582630634307861
0.001,150,interference_3_step_15,0.0010207677260041237,0.0006586704985238612,9.999999747378752e-05,0.0055860779248178005
0.001,151,interference_4_step_1,0.000995790702290833,0.0006514378474093974,9.999999747378752e-05,0.005465444643050432
0.001,152,interference_4_step_2,0.0009791896445676684,0.0006488238577730954,9.999999747378752e-05,0.005429898854345083
0.001,153,interference_4_step_3,0.0009516550344415009,0.000632711045909673,9.999999747378752e-05,0.005244705826044083
0.001,154,interference_4_step_4,0.0009258403442800045,0.0006294643389992416,9.999999747378752e-05,0.004745055455714464
0.001,155,interference_4_step_5,0.0008780778734944761,0.0005993638769723475,9.999999747378752e-05,0.004734741058200598
0.001,156,interference_4_step_6,0.000834292673971504,0.0005811977316625416,9.999999747378752e-05,0.0046522305347025394
0.001,157,interference_4_step_7,0.0007911481661722064,0.0005644181510433555,9.999999747378752e-05,0.0046211169101297855
0.001,158,interference_4_step_8,0.0007544404361397028,0.0005457346560433507,9.999999747378752e-05,0.004608354531228542
0.001,159,interference_4_step_9,0.0007379692979156971,0.0005381486844271421,9.999999747378752e-05,0.0045480369590222836
0.001,160,interference_4_step_10,0.0007264900486916304,0.0005284241633489728,9.999999747378752e-05,0.004547270480543375
0.001,161,interference_4_step_11,0.0007166984141804278,0.0005246775108389556,9.999999747378752e-05,0.0044731018133461475
0.001,162,interference_4_step_12,0.0007071290747262537,0.0005108443438075483,9.999999747378752e-05,0.004473683424293995
0.001,163,interference_4_step_13,0.0007029028492979705,0.0004991140449419618,9.999999747378752e-05,0.004473295994102955
0.001,164,interference_4_step_14,0.0006766873993910849,0.00046175424358807504,9.999999747378752e-05,0.004404811654239893
0.001,165,interference_4_step_15,0.0006647261325269938,0.00045193429104983807,9.999999747378752e-05,0.00437427731230855
0.01,1,training_fact_1_step_1,0.009481624700129032,0.009767426177859306,0.007524999789893627,0.009999999776482582
0.01,2,training_fact_1_step_2,0.009286263957619667,0.009681520983576775,0.005687312223017216,0.009999819099903107
0.01,3,training_fact_1_step_3,0.009175536222755909,0.009645150974392891,0.004322829656302929,0.009998626075685024
0.01,4,training_fact_1_step_4,0.009092297405004501,0.009638696908950806,0.0033097011037170887,0.009998265653848648
0.01,5,training_fact_1_step_5,0.00901796855032444,0.009631232358515263,0.0025574532337486744,0.009997524321079254
0.01,6,training_fact_1_step_6,0.008956926874816418,0.00961292628198862,0.0019989090505987406,0.009996446780860424
0.01,7,training_fact_1_step_7,0.008893412537872791,0.00959135964512825,0.0015841900603845716,0.009993812069296837
0.01,8,training_fact_1_step_8,0.008722172118723392,0.009468832053244114,0.0012762611731886864,0.009989066049456596
0.01,9,training_fact_1_step_9,0.008626862429082394,0.009442026726901531,0.0010476239258423448,0.009988143108785152
0.01,10,training_fact_1_step_10,0.008479628711938858,0.009402528405189514,0.0008778608171269298,0.00998649001121521
0.01,11,training_fact_1_step_11,0.00832293275743723,0.009267685003578663,0.0007518116035498679,0.009982327930629253
0.01,12,training_fact_1_step_12,0.008272144943475723,0.009257852099835873,0.0006582201458513737,0.009981141425669193
0.01,13,training_fact_1_step_13,0.008188968524336815,0.009194507263600826,0.0005887284642085433,0.00997956097126007
0.01,14,training_fact_1_step_14,0.007872444577515125,0.008740080520510674,0.0005371308652684093,0.009972033090889454
0.01,15,training_fact_1_step_15,0.007625749334692955,0.008481890894472599,0.0004988196305930614,0.009971560910344124
0.01,16,training_fact_2_step_1,0.007404162082821131,0.008206513710319996,0.0004703735758084804,0.009959038347005844
0.01,17,training_fact_2_step_2,0.007370189763605595,0.008205360732972622,0.00044925237307325006,0.0099544832482934
0.01,18,training_fact_2_step_3,0.007192221004515886,0.007983037270605564,0.0004335698904469609,0.009948141872882843
0.01,19,training_fact_2_step_4,0.0071440041065216064,0.00794168934226036,0.0004219256225042045,0.009948639199137688
0.01,20,training_fact_2_step_5,0.006999520119279623,0.007844633422791958,0.00041327974759042263,0.009938615374267101
0.01,21,training_fact_2_step_6,0.0069003598764538765,0.007778279948979616,0.00040686019929125905,0.009931984357535839
0.01,22,training_fact_2_step_7,0.006793817039579153,0.007728250231593847,0.0004020937194582075,0.00993176270276308
0.01,23,training_fact_2_step_8,0.006607502698898315,0.007464181166142225,0.00039855457725934684,0.009902973659336567
0.01,24,training_fact_2_step_9,0.006509455386549234,0.007416673004627228,0.0003959267633035779,0.009899579919874668
0.01,25,training_fact_2_step_10,0.006491870619356632,0.007432753685861826,0.000393975613405928,0.009899642318487167
0.01,26,training_fact_2_step_11,0.006460624281316996,0.0074250404722988605,0.00039477081736549735,0.00989665649831295
0.01,27,training_fact_2_step_12,0.006434818264096975,0.0074467733502388,0.0003931173123419285,0.009897548705339432
0.01,28,training_fact_2_step_13,0.0063340445049107075,0.007325006648898125,0.00039188959635794163,0.009898287244141102
0.01,29,training_fact_2_step_14,0.006236854009330273,0.007214538753032684,0.0003909780061803758,0.009893209673464298
0.01,30,training_fact_2_step_15,0.00614722166210413,0.007185648661106825,0.000390301167499274,0.009889635257422924
0.01,31,training_fact_3_step_1,0.006027338560670614,0.006994870491325855,0.00039035791996866465,0.009879703633487225
0.01,32,training_fact_3_step_2,0.006006889510899782,0.0068711889907717705,0.0003898407449014485,0.009880646131932735
0.01,33,training_fact_3_step_3,0.006025257986038923,0.006896510254591703,0.0003919814480468631,0.009881136007606983
0.01,34,training_fact_3_step_4,0.006042524706572294,0.00690820487216115,0.0003910462255589664,0.009882255457341671
0.01,35,training_fact_3_step_5,0.00605767359957099,0.006926714908331633,0.00039035180816426873,0.009882100857794285
0.01,36,training_fact_3_step_6,0.00600298261269927,0.006853163708001375,0.0003898362338077277,0.009874699637293816
0.01,37,training_fact_3_step_7,0.00592023367062211,0.006775292102247477,0.00038945337291806936,0.009873623959720135
0.01,38,training_fact_3_step_8,0.005873764865100384,0.006740482524037361,0.0003891691449098289,0.009867627173662186
0.01,39,training_fact_3_step_9,0.005713615566492081,0.006408874876797199,0.00038895808393135667,0.009868254885077477
0.01,40,training_fact_3_step_10,0.005632532760500908,0.006163234822452068,0.0003888013889081776,0.00986423995345831
0.01,41,training_fact_3_step_11,0.005488807801157236,0.0055573382414877415,0.0003886850317940116,0.009862550534307957
0.01,42,training_fact_3_step_12,0.005435396451503038,0.005226378794759512,0.00038859862252138555,0.009863700717687607
0.01,43,training_fact_3_step_13,0.005389113444834948,0.005039321258664131,0.00038853444857522845,0.009861164726316929
0.01,44,training_fact_3_step_14,0.005370354279875755,0.004956565331667662,0.0003884868056047708,0.009861547499895096
0.01,45,training_fact_3_step_15,0.005360406357795,0.004956207238137722,0.00038845144445076585,0.009862742386758327
0.01,46,training_fact_4_step_1,0.005192097742110491,0.0047259218990802765,0.00039000174729153514,0.009848588146269321
0.01,47,training_fact_4_step_2,0.005093440879136324,0.004651593044400215,0.00041196259553544223,0.00984807126224041
0.01,48,training_fact_4_step_3,0.0050493585877120495,0.004639501217752695,0.00042605618364177644,0.009847902692854404
0.01,49,training_fact_4_step_4,0.004956350661814213,0.004433085676282644,0.0004475994792301208,0.0098431296646595
0.01,50,training_fact_4_step_5,0.004931777715682983,0.00436670845374465,0.00046411470975726843,0.009844430722296238
0.01,51,training_fact_4_step_6,0.004885832779109478,0.004286543466150761,0.00048138422425836325,0.009837359189987183
0.01,52,training_fact_4_step_7,0.004872235935181379,0.004212494939565659,0.0004949867725372314,0.009837431833148003
0.01,53,training_fact_4_step_8,0.004871830344200134,0.004183982964605093,0.0005060390685684979,0.00983888003975153
0.01,54,training_fact_4_step_9,0.004771812818944454,0.004123806953430176,0.00047573400661349297,0.009834498167037964
0.01,55,training_fact_4_step_10,0.004639073740690947,0.004011782817542553,0.00045323249651119113,0.00983551423996687
0.01,56,training_fact_4_step_11,0.004627957008779049,0.00402862997725606,0.00043652509339153767,0.009836261160671711
0.01,57,training_fact_4_step_12,0.004574253689497709,0.004012086428701878,0.0004241198766976595,0.00983747374266386
0.01,58,training_fact_4_step_13,0.004526254255324602,0.0039504836313426495,0.00041490900912322104,0.009837193414568901
0.01,59,training_fact_4_step_14,0.004530574660748243,0.003925055265426636,0.00040806992910802364,0.009838152676820755
0.01,60,training_fact_4_step_15,0.004520626738667488,0.003939543850719929,0.0004029919218737632,0.009839232079684734
0.01,61,training_fact_5_step_1,0.00435794098302722,0.00359650538302958,0.00044736923882737756,0.009826323948800564
0.01,62,training_fact_5_step_2,0.004223956260830164,0.0033982594031840563,0.00048515445087105036,0.0097383176907897
0.01,63,training_fact_5_step_3,0.0042342087253928185,0.0033981790766119957,0.0005071211489848793,0.009740862064063549
0.01,64,training_fact_5_step_4,0.004204360768198967,0.0033919289708137512,0.0005221632891334593,0.009742905385792255
0.01,65,training_fact_5_step_5,0.004224477335810661,0.0034409144427627325,0.0005249291425570846,0.009745185263454914
0.01,66,training_fact_5_step_6,0.004242511000484228,0.0034872600808739662,0.0004897598992101848,0.009747512638568878
0.01,67,training_fact_5_step_7,0.004270832985639572,0.0035458416678011417,0.00046364672016352415,0.009750035591423512
0.01,68,training_fact_5_step_8,0.004248684737831354,0.0035445070825517178,0.00044425769010558724,0.009752004407346249
0.01,69,training_fact_5_step_9,0.004228918347507715,0.0035184482112526894,0.00042986133485101163,0.009752345271408558
0.01,70,training_fact_5_step_10,0.004215791821479797,0.0035130286123603582,0.00041917202179320157,0.009754789993166924
0.01,71,training_fact_5_step_11,0.004247367847710848,0.0035649295896291733,0.00041123523260466754,0.00975712575018406
0.01,72,training_fact_5_step_12,0.0042444514110684395,0.0035875048488378525,0.0004053421434946358,0.009759541600942612
0.01,73,training_fact_5_step_13,0.004268670454621315,0.003642343683168292,0.00040096655720844865,0.009761647321283817
0.01,74,training_fact_5_step_14,0.0042921993881464005,0.0036893170326948166,0.000397717667510733,0.009763822890818119
0.01,75,training_fact_5_step_15,0.004327675793319941,0.00374161871150136,0.0003953053383156657,0.009766065515577793
0.01,76,rest_step_1,0.004384398926049471,0.003804202424362302,0.0004913522861897945,0.009768404997885227
0.01,77,rest_step_2,0.004440555348992348,0.003866160288453102,0.0005864387494511902,0.009770721197128296
0.01,78,rest_step_3,0.004496149253100157,0.0039274985902011395,0.0006805743323639035,0.009773014113307
0.01,79,rest_step_4,0.004551188554614782,0.0039882236160337925,0.0007737685809843242,0.009775283746421337
0.01,80,rest_step_5,0.0046056765131652355,0.004048341419547796,0.0008660308667458594,0.009777531027793884
0.01,81,rest_step_6,0.004659619648009539,0.004107858054339886,0.0009573705610819161,0.00977975595742464
0.01,82,rest_step_7,0.004713023547083139,0.004166779574006796,0.0010477968025952578,0.009781958535313606
0.01,83,rest_step_8,0.004765892866998911,0.0042251115664839745,0.0011373187880963087,0.009784138761460781
0.01,84,rest_step_9,0.004818234127014875,0.004282860551029444,0.0012259455397725105,0.00978629756718874
0.01,85,rest_step_10,0.004870051983743906,0.004340032115578651,0.0013136861380189657,0.009788434952497482
0.01,86,rest_step_11,0.004921351559460163,0.004396631848067045,0.0014005493139848113,0.009790550917387009
0.01,87,rest_step_12,0.00497213751077652,0.004452665336430073,0.0014865437988191843,0.009792645461857319
0.01,88,rest_step_13,0.005022416356950998,0.004508138634264469,0.0015716783236712217,0.009794718585908413
0.01,89,rest_step_14,0.0050721922889351845,0.004563057329505682,0.0016559615032747388,0.009796771220862865
0.01,90,rest_step_15,0.005121470429003239,0.004617426544427872,0.0017394018359482288,0.009798803366720676
0.01,91,rest_step_16,0.005170255433768034,0.004671252332627773,0.0018220078200101852,0.009800815023481846
0.01,92,rest_step_17,0.005218552891165018,0.004724539816379547,0.0019037877209484577,0.009802807122468948
