encoder,norm_mode,space,projection,N,metric,recall_proto,recall_1nn,proto_advantage,mean_lcomp,centroid_top1,centroid_top5,centroid_top10,centroid_top20,exemplar_top1,exemplar_top5,exemplar_top10,exemplar_top20,mean_proto_rank,median_proto_rank,p90_proto_rank,mean_exemplar_rank,median_exemplar_rank,p90_exemplar_rank,linear_probe_svc,linear_probe_lr,margin_p1,margin_p5,margin_p10,margin_p25,margin_p50,margin_p75,margin_p90,z_score,distortion_mean,distortion_median,distortion_p95
all-MiniLM-L6-v2,raw,raw,none,100,L1,1.0,1.0,0.0,1.0052319592237473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.47711682319641113,0.8436190128326416,1.2653448104858398,1.6119306087493896,2.217135429382324,3.1299171447753906,3.7045650482177743,3.24216145547086,0.0,0.0,0.0
all-MiniLM-L6-v2,raw,raw,none,100,L2,1.0,1.0,0.0,1.0061500352621078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.03896822690963745,0.05796589851379395,0.08065192103385925,0.1113329827785492,0.1402948498725891,0.20446138083934784,0.2352548658847809,3.235312964877392,0.0,0.0,0.0
all-MiniLM-L6-v2,raw,raw,none,100,Cosine,1.0,1.0,0.0,1.082807144522667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.029874545335769654,0.04274188280105591,0.05887232422828675,0.08458064496517181,0.10663828253746033,0.1517031341791153,0.1742392420768738,2.5876480257940866,0.0,0.0,0.0
all-MiniLM-L6-v2,raw,proj_128d,random,100,L1,0.92,0.9,0.020000000000000018,1.0482980674505233,0.92,0.97,0.97,0.99,0.9,0.99,0.99,1.0,0.72,0.0,0.0,0.21,0.0,0.10000000000000853,0.02,0.01,-4.0491223335266116e-05,-1.068711280822754e-05,2.050399780273438e-06,7.867813110351562e-06,1.5854835510253906e-05,2.981722354888916e-05,3.6674737930297856e-05,2.867239817220043,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,raw,proj_128d,random,100,L2,0.01,0.01,0.0,0.0,0.01,0.05,0.1,0.2,0.01,0.05,0.1,0.2,49.38,49.5,89.10000000000001,49.5,49.5,89.10000000000001,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03527372394011042,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,raw,proj_128d,random,100,Cosine,0.02,0.01,0.01,1.5010883170366287,0.02,0.08,0.09,0.13,0.01,0.07,0.1,0.17,62.5,71.5,96.0,58.7,62.5,97.0,0.02,0.01,-5.370378494262695e-07,-4.798173904418946e-07,-4.76837158203125e-07,-4.172325134277344e-07,-2.980232238769531e-07,-1.7881393432617188e-07,-1.728534698486323e-07,2.91851024012779,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,raw,proj_128d,svd,100,L1,1.0,1.0,0.0,1.0225433856248856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.3621236419677734,0.5341982126235962,0.7298150539398194,0.8806352615356445,1.1235294342041016,1.5471707582473755,1.9776913642883303,3.638260076291885,0.6061404963155409,0.6146664023399353,0.6575399100780487
all-MiniLM-L6-v2,raw,proj_128d,svd,100,L2,1.0,1.0,0.0,1.0135826563835144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.04648786008358002,0.06853922009468079,0.09466015696525575,0.12576915323734283,0.16170188784599304,0.23323673754930496,0.2668720930814743,3.2562975955867772,0.6061404963155409,0.6146664023399353,0.6575399100780487
all-MiniLM-L6-v2,raw,proj_128d,svd,100,Cosine,1.0,1.0,0.0,1.1456537652015686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.04080464720726013,0.060251984000205996,0.10163541436195374,0.13348238170146942,0.1633549928665161,0.20889855921268463,0.2382176756858826,2.690898944694886,0.6061404963155409,0.6146664023399353,0.6575399100780487
all-MiniLM-L6-v2,raw,proj_256d,random,100,L1,0.93,0.94,-0.009999999999999898,1.008494464159012,0.93,1.0,1.0,1.0,0.94,1.0,1.0,1.0,0.09,0.0,0.0,0.08,0.0,0.0,0.84,0.79,-0.03990189433097839,-0.020020893216133116,0.014238435029983522,0.07324172556400299,0.13151246309280396,0.2049706131219864,0.2539524376392365,3.1163236165167234,0.9193013409475187,0.9201632142066956,0.9341537594795227
all-MiniLM-L6-v2,raw,proj_256d,random,100,L2,0.82,0.85,-0.030000000000000027,1.0278260046243668,0.82,0.92,0.93,0.95,0.85,0.98,0.99,1.0,3.16,0.0,4.0,0.41,0.0,1.0,0.84,0.79,-0.06365402780473232,-0.017207314819097517,-0.006834017485380172,0.0030067414045333862,0.009534105658531189,0.018140289932489395,0.025589464604854586,2.3454167619557906,0.9193013409475187,0.9201632142066956,0.9341537594795227
all-MiniLM-L6-v2,raw,proj_256d,random,100,Cosine,0.82,0.84,-0.020000000000000018,1.0742582619190215,0.82,0.92,0.94,0.95,0.84,0.98,0.99,1.0,3.12,0.0,3.1000000000000085,0.45,0.0,1.0,0.84,0.79,-3.3885836601257324e-05,-1.0314583778381347e-05,-2.771615982055664e-06,1.5050172805786133e-06,3.7550926208496094e-06,6.9141387939453125e-06,9.608268737792975e-06,1.695841617715137,0.9193013409475187,0.9201632142066956,0.9341537594795227
all-MiniLM-L6-v2,raw,proj_256d,svd,100,L1,1.0,1.0,0.0,1.0112998843193055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.369447603225708,0.5411031723022461,0.7469620704650879,0.9139561653137207,1.1281893253326416,1.5538398027420044,2.0118773460388186,3.3081725860462714,0.5648298643014811,0.5772843956947327,0.6240300118923188
all-MiniLM-L6-v2,raw,proj_256d,svd,100,L2,1.0,1.0,0.0,1.0071709257364274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.04050499975681305,0.0605116456747055,0.08375776410102845,0.11565768718719482,0.14533522725105286,0.21098759770393372,0.2445695847272873,3.2377806919558605,0.5648298643014811,0.5772843956947327,0.6240300118923188
all-MiniLM-L6-v2,raw,proj_256d,svd,100,Cosine,1.0,1.0,0.0,1.1037545961141586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.037542736530303954,0.05665327906608582,0.09453807473182678,0.12689489126205444,0.15629234910011292,0.20121948421001434,0.22586412429809571,2.686816034685254,0.5648298643014811,0.5772843956947327,0.6240300118923188
all-MiniLM-L6-v2,l2_normalized,raw,none,100,L1,1.0,1.0,0.0,1.0052319610118865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.4771158885955811,0.8436189651489258,1.2653456687927247,1.6119298934936523,2.217134952545166,3.129918098449707,3.704565143585206,3.2421614648557475,0.0,0.0,0.0
all-MiniLM-L6-v2,l2_normalized,raw,none,100,L2,1.0,1.0,0.0,1.0061500334739686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.03896816909313202,0.05796573162078857,0.08065192699432373,0.11133275926113129,0.1402949094772339,0.2044614553451538,0.23525497913360596,3.235313045012805,0.0,0.0,0.0
all-MiniLM-L6-v2,l2_normalized,raw,none,100,Cosine,1.0,1.0,0.0,1.0828071701526643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.029874486327171327,0.04274193346500397,0.058872318267822264,0.08458070456981659,0.10663831233978271,0.1517031341791153,0.17423930168151858,2.5876480421251546,0.0,0.0,0.0
all-MiniLM-L6-v2,l2_normalized,proj_128d,random,100,L1,0.92,0.9,0.020000000000000018,1.0482980674505233,0.92,0.97,0.97,0.99,0.9,0.99,0.99,1.0,0.72,0.0,0.0,0.21,0.0,0.10000000000000853,0.02,0.01,-4.0491223335266116e-05,-1.068711280822754e-05,2.050399780273438e-06,7.867813110351562e-06,1.5854835510253906e-05,2.981722354888916e-05,3.6674737930297856e-05,2.8672384560199133,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,l2_normalized,proj_128d,random,100,L2,0.01,0.01,0.0,0.0,0.01,0.05,0.1,0.2,0.01,0.05,0.1,0.2,49.38,49.5,89.10000000000001,49.5,49.5,89.10000000000001,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03527373590741132,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,l2_normalized,proj_128d,random,100,Cosine,0.02,0.01,0.01,1.5010883170366287,0.02,0.08,0.09,0.13,0.01,0.07,0.1,0.17,62.5,71.5,96.0,58.7,62.5,97.0,0.02,0.01,-5.370378494262695e-07,-4.798173904418946e-07,-4.76837158203125e-07,-4.172325134277344e-07,-2.980232238769531e-07,-1.7881393432617188e-07,-1.728534698486323e-07,2.91851024012779,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,l2_normalized,proj_128d,svd,100,L1,1.0,1.0,0.0,1.0225557792186737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.36242114543914794,0.5344353199005127,0.7297789096832276,0.8803855180740356,1.1233880519866943,1.5466047525405884,1.977979326248169,3.6382773565421553,0.606141167718011,0.6146971583366394,0.6575410962104797
all-MiniLM-L6-v2,l2_normalized,proj_128d,svd,100,L2,1.0,1.0,0.0,1.0135818147659301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.046489290595054626,0.068540820479393,0.09466018676757813,0.1257684826850891,0.1617009937763214,0.23323576152324677,0.26687075197696686,3.256293027269623,0.606141167718011,0.6146971583366394,0.6575410962104797
all-MiniLM-L6-v2,l2_normalized,proj_128d,svd,100,Cosine,1.0,1.0,0.0,1.1456519490480424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.04080560803413391,0.06025307178497315,0.10163412094116211,0.13348257541656494,0.16335442662239075,0.20889826118946075,0.2382172703742981,2.6908949390877117,0.606141167718011,0.6146971583366394,0.6575410962104797
all-MiniLM-L6-v2,l2_normalized,proj_256d,random,100,L1,0.93,0.94,-0.009999999999999898,1.0084945511817933,0.93,1.0,1.0,1.0,0.94,1.0,1.0,1.0,0.09,0.0,0.0,0.08,0.0,0.0,0.84,0.79,-0.03990249276161194,-0.02002064287662506,0.014238232374191286,0.07324182987213135,0.13151276111602783,0.2049703449010849,0.25395217537879944,3.1163239592867917,0.9193013802662984,0.9201632142066956,0.9341537714004516
all-MiniLM-L6-v2,l2_normalized,proj_256d,random,100,L2,0.82,0.85,-0.030000000000000027,1.0277997219562531,0.82,0.92,0.93,0.95,0.85,0.98,0.99,1.0,3.15,0.0,4.0,0.41,0.0,1.0,0.84,0.79,-0.06365402780473232,-0.017313259094953536,-0.006877583265304565,0.0030067414045333862,0.009492933750152588,0.018140289932489395,0.025592134147882462,2.3456848759880247,0.9193013802662984,0.9201632142066956,0.9341537714004516
all-MiniLM-L6-v2,l2_normalized,proj_256d,random,100,Cosine,0.82,0.84,-0.020000000000000018,1.0745982331037522,0.82,0.92,0.94,0.95,0.84,0.98,0.99,1.0,3.12,0.0,3.1000000000000085,0.45,0.0,1.0,0.84,0.79,-3.40038537979126e-05,-1.0371208190917967e-05,-2.771615982055664e-06,1.5497207641601562e-06,3.7550926208496094e-06,6.92903995513916e-06,9.608268737792975e-06,1.6957298830667218,0.9193013802662984,0.9201632142066956,0.9341537714004516
all-MiniLM-L6-v2,l2_normalized,proj_256d,svd,100,L1,1.0,1.0,0.0,1.0113016283512115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.369621057510376,0.5411846160888673,0.7468756198883056,0.9138756990432739,1.1279468536376953,1.553379774093628,2.012460470199585,3.3081903078820196,0.5648308815182866,0.5772754549980164,0.6240134596824646
all-MiniLM-L6-v2,l2_normalized,proj_256d,svd,100,L2,1.0,1.0,0.0,1.0071704232692718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.040505128502845766,0.06051183044910431,0.0837570607662201,0.11565710604190826,0.14533469080924988,0.21098674833774567,0.24456813633441926,3.2377762569618787,0.5648308815182866,0.5772754549980164,0.6240134596824646
all-MiniLM-L6-v2,l2_normalized,proj_256d,svd,100,Cosine,1.0,1.0,0.0,1.1037532925605773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.03754305064678192,0.056653392314910886,0.0945363998413086,0.12689396739006042,0.15629282593727112,0.20121921598911285,0.22586334943771363,2.6868120122110017,0.5648308815182866,0.5772754549980164,0.6240134596824646
all-MiniLM-L6-v2,raw,raw,none,200,L1,0.915,0.915,0.0,0.9966390499472618,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.09,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.7476526165008545,-0.20227465629577634,0.11244478225708021,1.4112870693206787,1.8290977478027344,3.1133480072021484,3.662854623794556,3.2257086544379385,0.0,0.0,0.0
all-MiniLM-L6-v2,raw,raw,none,200,L2,0.915,0.915,0.0,0.9993702095746994,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.085,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.03534454643726349,-0.01338560581207275,0.004000544548034669,0.0974021703004837,0.12705212831497192,0.20178204774856567,0.23598241806030273,3.222345798386364,0.0,0.0,0.0
all-MiniLM-L6-v2,raw,raw,none,200,Cosine,0.915,0.915,0.0,1.068544449210167,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.085,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.02793404519557953,-0.009399813413619992,0.004387837648391726,0.07435384392738342,0.0983746349811554,0.1439967006444931,0.17006117701530457,2.5754279983811004,0.0,0.0,0.0
all-MiniLM-L6-v2,raw,proj_128d,random,200,L1,0.785,0.78,0.0050000000000000044,1.0499834644794463,0.785,0.98,0.98,0.985,0.78,0.98,0.995,0.995,1.1,0.0,2.0,0.58,0.0,2.0,0.005,0.005,-3.486573696136475e-05,-1.957118511199951e-05,-8.70227813720703e-06,2.6673078536987305e-06,1.1920928955078125e-05,2.3543834686279297e-05,3.277063369750976e-05,2.845046166036648,0.9999871869981289,0.9999874234199524,0.9999898105859757
all-MiniLM-L6-v2,raw,proj_128d,random,200,L2,0.005,0.005,0.0,51132.45453125,0.005,0.03,0.055,0.11,0.005,0.025,0.05,0.1,92.91,92.0,170.2,99.5,99.5,179.1,0.005,0.005,-0.004784159827977419,-0.00390625,-0.0027621358167380095,0.0,0.0,0.0,0.0,0.5339490093588662,0.9999871869981289,0.9999874234199524,0.9999898105859757
all-MiniLM-L6-v2,raw,proj_128d,random,200,Cosine,0.015,0.005,0.009999999999999998,0.04712020646780729,0.015,0.04,0.065,0.12,0.005,0.035,0.05,0.085,95.48,89.5,172.0,118.045,130.5,190.0,0.005,0.005,-2.980232238769531e-07,-2.384185791015625e-07,-2.384185791015625e-07,-2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.09313990176857449,0.9999871869981289,0.9999874234199524,0.9999898105859757
all-MiniLM-L6-v2,raw,proj_128d,svd,200,L1,0.915,0.915,0.0,1.0165064138174058,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.09,0.0,0.0,0.085,0.0,0.0,0.895,0.915,-0.5085289859771729,-0.142930269241333,0.07988462448120129,0.750491738319397,1.0590224266052246,1.4877498745918274,1.809360384941101,4.173176990845071,0.5844343919157982,0.5960507392883301,0.6348113864660263
all-MiniLM-L6-v2,raw,proj_128d,svd,200,L2,0.915,0.915,0.0,1.0031485456228255,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.085,0.0,0.0,0.085,0.0,0.0,0.895,0.915,-0.039192382097244266,-0.016216796636581415,0.0066908419132232725,0.11240145564079285,0.14780303835868835,0.23015019297599792,0.2767597079277039,3.2440089320558028,0.5844343919157982,0.5960507392883301,0.6348113864660263
all-MiniLM-L6-v2,raw,proj_128d,svd,200,Cosine,0.915,0.915,0.0,1.1253384187817574,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.085,0.0,0.0,0.085,0.0,0.0,0.895,0.915,-0.03677603840827942,-0.012112680077552784,0.004138135910034181,0.10835564136505127,0.15156999230384827,0.19323211908340454,0.2258057117462158,2.6810798099813757,0.5844343919157982,0.5960507392883301,0.6348113864660263
all-MiniLM-L6-v2,raw,proj_256d,random,200,L1,0.855,0.83,0.025000000000000022,1.0084129798412322,0.855,0.99,1.0,1.0,0.83,0.985,1.0,1.0,0.25,0.0,1.0,0.3,0.0,1.0,0.765,0.695,-0.12163441181182862,-0.03982775211334228,-0.013980013132095336,0.03416365385055542,0.09454196691513062,0.18001893162727356,0.24065753817558289,3.101492260146073,0.9193921408057213,0.9201638698577881,0.9337608039379119
all-MiniLM-L6-v2,raw,proj_256d,random,200,L2,0.71,0.685,0.02499999999999991,1.024905136525631,0.71,0.91,0.945,0.97,0.685,0.945,0.98,0.995,3.81,0.0,3.0,0.935,0.0,3.0,0.765,0.695,-0.04130030646920204,-0.013491774350404738,-0.008520951867103575,-0.00099259614944458,0.006040386855602264,0.015304088592529297,0.022650573402643204,2.4897556079941126,0.9193921408057213,0.9201638698577881,0.9337608039379119
all-MiniLM-L6-v2,raw,proj_256d,random,200,Cosine,0.71,0.685,0.02499999999999991,1.065168070793152,0.71,0.915,0.945,0.97,0.685,0.945,0.975,0.995,3.78,0.0,3.0,0.98,0.0,2.0999999999999943,0.765,0.695,-2.3941993713378907e-05,-6.0230493545532225e-06,-3.5941600799560545e-06,-4.3213367462158203e-07,2.562999725341797e-06,5.7220458984375e-06,8.18967819213867e-06,1.8399552383645421,0.9193921408057213,0.9201638698577881,0.9337608039379119
all-MiniLM-L6-v2,raw,proj_256d,svd,200,L1,0.915,0.915,0.0,1.007026493549347,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.09,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.5839819574356079,-0.16977832317352295,0.06006846427917483,0.7734779119491577,1.0816411972045898,1.47507905960083,1.8397632598876952,3.8402493849742485,0.5336062023043633,0.5481666326522827,0.5946780920028686
all-MiniLM-L6-v2,raw,proj_256d,svd,200,L2,0.915,0.915,0.0,1.000146497786045,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.085,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.03665626466274261,-0.013643082976341241,0.0048567414283752445,0.10014146566390991,0.13093504309654236,0.2088543176651001,0.24469825029373166,3.2258896084089654,0.5336062023043633,0.5481666326522827,0.5946780920028686
all-MiniLM-L6-v2,raw,proj_256d,svd,200,Cosine,0.915,0.915,0.0,1.087083673775196,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.09,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.03799612879753113,-0.012469169497489921,0.00506529211997986,0.10310471057891846,0.14123401045799255,0.18363134562969208,0.21485899090766908,2.6794588451072543,0.5336062023043633,0.5481666326522827,0.5946780920028686
all-MiniLM-L6-v2,l2_normalized,raw,none,200,L1,0.915,0.915,0.0,0.9966390526294708,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.09,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.7476526260375976,-0.20227465629577634,0.11244401931762708,1.4112870693206787,1.8290977478027344,3.113348960876465,3.6628554344177244,3.2257086492967955,0.0,0.0,0.0
all-MiniLM-L6-v2,l2_normalized,raw,none,200,L2,0.915,0.915,0.0,0.999370199739933,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.085,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.03534442842006683,-0.013385611772537227,0.004000443220138551,0.09740220010280609,0.12705206871032715,0.20178216695785522,0.23598243594169616,3.2223458428027847,0.0,0.0,0.0
all-MiniLM-L6-v2,l2_normalized,raw,none,200,Cosine,0.915,0.915,0.0,1.068544484078884,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.085,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.02793404519557953,-0.009399873018264768,0.0043879508972168,0.07435385882854462,0.0983746349811554,0.1439966857433319,0.17006117701530457,2.5754280200395034,0.0,0.0,0.0
all-MiniLM-L6-v2,l2_normalized,proj_128d,random,200,L1,0.785,0.78,0.0050000000000000044,1.0499834644794463,0.785,0.98,0.98,0.985,0.78,0.98,0.995,0.995,1.1,0.0,2.0,0.58,0.0,2.0,0.005,0.005,-3.486573696136475e-05,-1.957118511199951e-05,-8.70227813720703e-06,2.6673078536987305e-06,1.1920928955078125e-05,2.3543834686279297e-05,3.277063369750976e-05,2.845046166036648,0.9999871869981289,0.9999874234199524,0.9999898105859757
all-MiniLM-L6-v2,l2_normalized,proj_128d,random,200,L2,0.005,0.005,0.0,51132.45453125,0.005,0.03,0.055,0.11,0.005,0.025,0.05,0.1,92.91,92.0,170.2,99.5,99.5,179.1,0.005,0.005,-0.004784159827977419,-0.00390625,-0.0027621358167380095,0.0,0.0,0.0,0.0,0.5339490143872528,0.9999871869981289,0.9999874234199524,0.9999898105859757
all-MiniLM-L6-v2,l2_normalized,proj_128d,random,200,Cosine,0.015,0.005,0.009999999999999998,0.04712020646780729,0.015,0.04,0.065,0.12,0.005,0.035,0.05,0.085,95.48,89.5,172.0,118.045,130.5,190.0,0.005,0.005,-2.980232238769531e-07,-2.384185791015625e-07,-2.384185791015625e-07,-2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.09313990176857449,0.9999871869981289,0.9999874234199524,0.9999898105859757
all-MiniLM-L6-v2,l2_normalized,proj_128d,svd,200,L1,0.915,0.915,0.0,1.016513289809227,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.09,0.0,0.0,0.085,0.0,0.0,0.895,0.915,-0.5084514331817627,-0.14272074699401854,0.08000197410583507,0.7505605220794678,1.059077262878418,1.4876146912574768,1.8091017484664915,4.173165035111871,0.5844358416795731,0.5960342288017273,0.6348022758960724
all-MiniLM-L6-v2,l2_normalized,proj_128d,svd,200,L2,0.915,0.915,0.0,1.0031482708454131,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.085,0.0,0.0,0.085,0.0,0.0,0.895,0.915,-0.03919195532798767,-0.016216823458671564,0.006690853834152227,0.11240079998970032,0.14780202507972717,0.23014850914478302,0.27675890922546387,3.2440000875224717,0.5844358416795731,0.5960342288017273,0.6348022758960724
all-MiniLM-L6-v2,l2_normalized,proj_128d,svd,200,Cosine,0.915,0.915,0.0,1.1253378596901893,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.085,0.0,0.0,0.085,0.0,0.0,0.895,0.915,-0.036776440739631655,-0.012112927436828602,0.004138165712356569,0.10835473239421844,0.1515699326992035,0.19323007762432098,0.22580564618110655,2.6810713673220397,0.5844358416795731,0.5960342288017273,0.6348022758960724
all-MiniLM-L6-v2,l2_normalized,proj_256d,random,200,L1,0.855,0.83,0.025000000000000022,1.0084129878878594,0.855,0.99,1.0,1.0,0.83,0.985,1.0,1.0,0.25,0.0,1.0,0.3,0.0,1.0,0.765,0.695,-0.12163405597209931,-0.0398280918598175,-0.013979691267013549,0.034163787961006165,0.09454214572906494,0.18001891672611237,0.2406566560268402,3.1014921889196483,0.9193921782672405,0.9201638698577881,0.9337609201669693
all-MiniLM-L6-v2,l2_normalized,proj_256d,random,200,L2,0.71,0.685,0.02499999999999991,1.0248682755231857,0.71,0.91,0.945,0.97,0.685,0.945,0.98,0.995,3.81,0.0,3.0,0.93,0.0,3.0,0.765,0.695,-0.04118273183703423,-0.01349699795246124,-0.008700033277273178,-0.0010097958147525787,0.006105337291955948,0.015267621725797653,0.022746971994638442,2.4899326446190124,0.9193921782672405,0.9201638698577881,0.9337609201669693
all-MiniLM-L6-v2,l2_normalized,proj_256d,random,200,Cosine,0.71,0.685,0.02499999999999991,1.0653067260980607,0.71,0.915,0.945,0.97,0.685,0.945,0.975,0.995,3.78,0.0,3.0,0.98,0.0,2.0999999999999943,0.765,0.695,-2.3941993713378907e-05,-6.0230493545532225e-06,-3.5405158996582026e-06,-3.725290298461914e-07,2.562999725341797e-06,5.7220458984375e-06,8.19563865661621e-06,1.83997444638424,0.9193921782672405,0.9201638698577881,0.9337609201669693
all-MiniLM-L6-v2,l2_normalized,proj_256d,svd,200,L1,0.915,0.915,0.0,1.0070292431116104,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.09,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.583719687461853,-0.17008166313171386,0.059291744232177764,0.7731090784072876,1.0816879272460938,1.4750157594680786,1.8394991874694824,3.840246114765012,0.5336075348258018,0.548184335231781,0.5946888864040375
all-MiniLM-L6-v2,l2_normalized,proj_256d,svd,200,L2,0.915,0.915,0.0,1.000146235227585,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.085,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.03665649056434631,-0.013643166422843928,0.004856479167938233,0.10014094412326813,0.13093367218971252,0.2088538259267807,0.2446985363960266,3.225880871139945,0.5336075348258018,0.548184335231781,0.5946888864040375
all-MiniLM-L6-v2,l2_normalized,proj_256d,svd,200,Cosine,0.915,0.915,0.0,1.0870833638310433,0.915,1.0,1.0,1.0,0.915,1.0,1.0,1.0,0.09,0.0,0.0,0.085,0.0,0.0,0.875,0.915,-0.03799612283706665,-0.012468850612640374,0.005065000057220461,0.10310381650924683,0.14123216271400452,0.18363094329833984,0.2148599863052368,2.6794504117571694,0.5336075348258018,0.548184335231781,0.5946888864040375
all-MiniLM-L6-v2,raw,raw,none,400,L1,0.5625,0.5625,0.0,0.9964742062985897,0.5625,0.9975,1.0,1.0,0.5625,1.0,1.0,1.0,0.5425,0.0,1.0,0.5325,0.0,1.0,0.5425,0.5625,-1.0558623218536376,-0.6548925399780273,-0.5462407112121582,-0.2888641357421875,0.08086824417114258,0.5815410614013672,3.222397041320801,3.2425586783949565,0.0,0.0,0.0
all-MiniLM-L6-v2,raw,raw,none,400,L2,0.5625,0.5625,0.0,0.9982593707740307,0.5625,1.0,1.0,1.0,0.5625,1.0,1.0,1.0,0.5425,0.0,1.0,0.535,0.0,1.0,0.5425,0.5625,-0.06901679813861847,-0.03929747343063354,-0.033818358182907106,-0.01613996922969818,0.00627020001411438,0.03541891276836395,0.2039392590522766,3.2388094020161042,0.0,0.0,0.0
all-MiniLM-L6-v2,raw,raw,none,400,Cosine,0.5625,0.5625,0.0,1.0656821656227111,0.5625,0.9975,1.0,1.0,0.5625,1.0,1.0,1.0,0.5425,0.0,1.0,0.535,0.0,1.0,0.5425,0.5625,-0.050646462440490723,-0.02838617265224457,-0.023017692565917968,-0.010854706168174744,0.0035431087017059326,0.024471312761306763,0.1414594829082489,2.5907144750202473,0.0,0.0,0.0
