encoder,norm_mode,space,projection,N,metric,recall_proto,recall_1nn,proto_advantage,mean_lcomp,centroid_top1,centroid_top5,centroid_top10,centroid_top20,exemplar_top1,exemplar_top5,exemplar_top10,exemplar_top20,mean_proto_rank,median_proto_rank,p90_proto_rank,mean_exemplar_rank,median_exemplar_rank,p90_exemplar_rank,linear_probe_svc,linear_probe_lr,margin_p1,margin_p5,margin_p10,margin_p25,margin_p50,margin_p75,margin_p90,z_score,distortion_mean,distortion_median,distortion_p95
e5-small-v2,raw,proj_256d,svd,200,Cosine,0.9,0.9,0.0,1.1564134448766707,0.9,0.985,1.0,1.0,0.9,1.0,1.0,1.0,0.18,0.0,0.09999999999999432,0.115,0.0,0.09999999999999432,0.91,0.9,-0.05209892749786377,-0.017056417465209955,0.000901222229003911,0.06488372385501862,0.09660828113555908,0.1322227269411087,0.15865269899368287,2.293978350185234,0.5351043444871902,0.5410639047622681,0.6318136394023895
e5-small-v2,l2_normalized,raw,none,200,L1,0.895,0.89,0.0050000000000000044,1.046188687980175,0.895,0.99,1.0,1.0,0.89,1.0,1.0,1.0,0.17,0.0,1.0,0.135,0.0,1.0,0.91,0.9,-0.3839145803451538,-0.1695141792297363,-0.01510720252990722,0.30851149559020996,0.5363409519195557,0.827284574508667,1.0320968627929688,2.6963468623012132,0.0,0.0,0.0
e5-small-v2,l2_normalized,raw,none,200,L2,0.9,0.895,0.0050000000000000044,1.0385252183675766,0.9,0.985,1.0,1.0,0.895,1.0,1.0,1.0,0.18,0.0,0.09999999999999432,0.12,0.0,1.0,0.91,0.9,-0.02003041625022888,-0.01156461089849472,0.0013850688934326245,0.023615889251232147,0.03712880611419678,0.051148951053619385,0.06056654155254364,2.707673760483303,0.0,0.0,0.0
e5-small-v2,l2_normalized,raw,none,200,Cosine,0.9,0.895,0.0050000000000000044,1.0998659721016883,0.9,0.985,1.0,1.0,0.895,1.0,1.0,1.0,0.18,0.0,0.09999999999999432,0.12,0.0,1.0,0.91,0.9,-0.01328762710094452,-0.005576488375663757,0.0008104801177978559,0.01346123218536377,0.021159112453460693,0.02731211483478546,0.03137403130531311,2.167815590290272,0.0,0.0,0.0
e5-small-v2,l2_normalized,proj_128d,random,200,L1,0.435,0.4,0.034999999999999976,1.0309739410877228,0.435,0.72,0.8,0.895,0.4,0.75,0.81,0.915,6.965,1.0,23.099999999999994,5.24,1.0,18.099999999999994,0.005,0.005,-3.1652450561523435e-05,-2.2420287132263182e-05,-1.9311904907226562e-05,-1.0699033737182617e-05,-1.9669532775878906e-06,5.796551704406738e-06,1.1020898818969724e-05,2.438618101493377,0.9999852763712406,0.9999854564666748,0.9999883770942688
e5-small-v2,l2_normalized,proj_128d,random,200,L2,0.005,0.005,0.0,47117.6565625,0.005,0.015,0.035,0.09,0.005,0.025,0.05,0.1,99.875,102.5,183.1,99.5,99.5,179.1,0.005,0.005,-0.00390625,-0.00390625,-0.0027621358167380095,0.0,0.0,0.0,0.0,0.3529586262010422,0.9999852763712406,0.9999854564666748,0.9999883770942688
e5-small-v2,l2_normalized,proj_128d,random,200,Cosine,0.0,0.005,-0.005,-0.008015809133648872,0.0,0.015,0.045,0.09,0.005,0.01,0.055,0.12,98.84,94.5,184.1,96.56,96.5,181.29999999999998,0.005,0.005,-2.98619270324707e-07,-2.384185791015625e-07,-2.384185791015625e-07,-2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0027978277091409965,0.9999852763712406,0.9999854564666748,0.9999883770942688
e5-small-v2,l2_normalized,proj_128d,svd,200,L1,0.91,0.91,0.0,1.0227122709155083,0.91,0.995,1.0,1.0,0.91,0.995,1.0,1.0,0.11,0.0,0.0,0.115,0.0,0.0,0.905,0.9,-0.29636578798294066,-0.12021483182907104,0.02948834896087648,0.31481218338012695,0.4660639762878418,0.5545614361763,0.6089737176895141,3.419862127774216,0.5842059990465641,0.5878621935844421,0.6651967734098434
e5-small-v2,l2_normalized,proj_128d,svd,200,L2,0.9,0.895,0.0050000000000000044,1.066149042546749,0.9,0.985,1.0,1.0,0.895,1.0,1.0,1.0,0.18,0.0,0.09999999999999432,0.115,0.0,1.0,0.905,0.9,-0.025763803124427796,-0.012495906651020048,0.0005952119827270539,0.030551142990589142,0.04682670533657074,0.06533268839120865,0.07607651352882384,2.7287546396407234,0.5842059990465641,0.5878621935844421,0.6651967734098434
e5-small-v2,l2_normalized,proj_128d,svd,200,Cosine,0.9,0.9,0.0,1.22110171854496,0.9,0.985,1.0,1.0,0.9,1.0,1.0,1.0,0.18,0.0,0.09999999999999432,0.13,0.0,0.09999999999999432,0.905,0.9,-0.060488858819007875,-0.01770995259284973,0.0001819610595703135,0.07453934848308563,0.11040481925010681,0.15120911598205566,0.17937501072883605,2.2976346139291772,0.5842059990465641,0.5878621935844421,0.6651967734098434
