N,projection_type,W,recall_at_1,recall_at_5,recall_at_10,mean_rank,median_rank,mean_margin,p5_margin,p10_margin,mean_gap_ratio,p5_gap_ratio,p10_gap_ratio,mean_prototype_density,p5_prototype_density,p10_prototype_density,mean_top1_dist,mean_top2_dist,mean_decision_gap,p5_decision_gap,p10_decision_gap,std_recall_at_1
100,raw,,0.95,1.0,1.0,1.06,1.0,1.4527134799957275,0.027003574371337897,0.20117588043212892,1.1595287709879158,1.00242076617329,1.018886629281974,12.130274124145508,11.350535440444947,11.407207202911376,9.944273157119751,11.41815499305725,1.4738818359375,0.10926060676574707,0.23926935195922852,0.0
100,random,32,0.61,0.9033333333333333,0.9633333333333333,2.5333333333333337,1.0,0.032828528881072995,-0.11563833852609,-0.0902409056822459,1.054156233937696,0.8775917590278208,0.9067935379202282,0.9654496359825134,0.8240267922480902,0.8450739959875743,0.819986942410469,0.8928643822669983,0.07287743985652922,0.003349655866622925,0.006384960810343424,0.03559026084010435
100,oracle_svd,32,0.81,1.0,1.0,1.31,1.0,0.23963873386383056,-0.06504730582237243,-0.04961805343627929,1.183379831186239,0.9651551183441102,0.9741217373984871,2.12854123711586,1.7313328683376312,1.7530124306678772,1.5832768559455872,1.8416030085086823,0.2583261525630951,0.006957030296325684,0.022076368331909183,0.0
100,random,64,0.8033333333333333,0.9833333333333334,0.9966666666666667,1.4033333333333333,1.0,0.16144526799519857,-0.08024361729621886,-0.038632341225941974,1.1085804731664857,0.9561642286243005,0.9789342621995929,1.9435339740912119,1.7585148135821023,1.7807027061780294,1.6234700123469035,1.806139158407847,0.18266914606094362,0.010870351394017536,0.016617842515309653,0.012472191289246433
100,oracle_svd,64,0.92,1.0,1.0,1.09,1.0,0.6634318590164184,-0.019648170471191405,0.02458348274230958,1.2890053020764918,0.9929810841621667,1.0080523898947955,3.6497640109062193,3.2592047691345214,3.3526769876480103,2.5926436829566955,3.26350145816803,0.6708577752113343,0.025537872314453126,0.04489045143127442,0.0
100,random,128,0.85,0.9966666666666667,1.0,1.2333333333333334,1.0,0.3837752230962117,-0.10721672773361206,-0.04868861834208171,1.1318916834182957,0.9712495732256796,0.9865871532712222,3.9533537570635477,3.5596366961797083,3.6196127653121946,3.2784521269798277,3.6891696739196775,0.41071754693984985,0.020541465282440188,0.03786346117655436,0.016329931618554536
100,oracle_svd,128,0.93,1.0,1.0,1.08,1.0,0.9410472297668457,-0.04346234798431396,0.07661848068237305,1.2311170638735758,0.991236819413208,1.0143376822622387,5.857481126785278,5.503662586212158,5.565152931213379,4.531197457313538,5.481942830085754,0.9507453727722168,0.06403400897979736,0.08063311576843261,0.0
200,raw,,0.95,1.0,1.0,1.055,1.0,1.4846414613723755,0.02700371742248539,0.20359296798706056,1.1600518649860978,1.0024207787655348,1.0188862384516821,12.034559020996094,11.298875951766968,11.409882354736329,9.991701769828797,11.494311532974244,1.5026097631454467,0.14285402297973634,0.23024845123291018,0.0
200,random,32,0.5683333333333334,0.8616666666666667,0.9333333333333332,3.3233333333333337,1.0,0.02876846760511398,-0.1267721543709437,-0.10139652093251546,1.0491914189678713,0.8621573317552794,0.8954024834482746,0.9579677695035934,0.8196937203407288,0.8437043229738871,0.8213902648289998,0.8929687598347664,0.07157849500576655,0.0034941782553990683,0.006221306324005128,0.018856180831641232
200,oracle_svd,32,0.805,1.0,1.0,1.28,1.0,0.16000164210796355,-0.1289327085018158,-0.08150186538696287,1.1127125524920733,0.9330609873433011,0.9559906037921488,1.9946278625726699,1.5103716492652892,1.5461082696914672,1.5702163898944854,1.7629906660318375,0.19277427613735199,0.023493611812591554,0.03468278646469116,0.0
