N,projection_type,W,recall_at_1,recall_at_5,recall_at_10,mean_rank,median_rank,mean_margin,p5_margin,p10_margin,mean_gap_ratio,p5_gap_ratio,p10_gap_ratio,mean_prototype_density,p5_prototype_density,p10_prototype_density,mean_top1_dist,mean_top2_dist,mean_decision_gap,p5_decision_gap,p10_decision_gap,std_recall_at_1
100,raw,,0.95,1.0,1.0,1.06,1.0,1.4527135944366456,0.02700743675231934,0.2011744499206543,1.159528796189599,1.002421112793955,1.01888650175616,12.130273542404176,11.350532674789429,11.407207202911376,9.944272594451904,11.418154525756837,1.4738819313049316,0.10925722122192383,0.23927040100097657,0.0
100,random,32,0.61,0.9033333333333333,0.9633333333333333,2.5333333333333337,1.0,0.032828541199366255,-0.11563857893149058,-0.09024098714192708,1.0541562561487616,0.8775918152120675,0.9067935073355775,0.9654496018091837,0.8240268617868424,0.8450740178426107,0.8199868937333425,0.8928643262386323,0.07287743250528972,0.003349639972050985,0.006385181347529093,0.03559026084010435
100,oracle_svd,32,0.81,1.0,1.0,1.31,1.0,0.23964146852493287,-0.06503655314445496,-0.04961868524551392,1.1833819667844143,0.9651547243963196,0.9741213869714692,2.128541147708893,1.7313319623470307,1.7530123949050904,1.583274610042572,1.8416037964820862,0.25832918643951414,0.006959933042526245,0.022086083889007572,0.0
100,random,64,0.8033333333333333,0.9833333333333334,0.9966666666666667,1.4033333333333333,1.0,0.1614452612400055,-0.0802440861860911,-0.038632063070933025,1.1085804740963168,0.9561639737652302,0.9789343673726565,1.9435339105129243,1.7585145890712737,1.7807026267051695,1.623469942410787,1.8061390693982442,0.1826691269874573,0.010869830846786499,0.016617826620737713,0.012472191289246433
100,oracle_svd,64,0.92,1.0,1.0,1.09,1.0,0.6634346306324005,-0.019640123844146727,0.024583268165588385,1.2890069569383644,0.9929839392644518,1.0080523498780083,3.6497635555267336,3.259202313423157,3.352678680419922,2.592640861272812,3.263501379489899,0.6708605182170868,0.025526607036590578,0.04488317966461182,0.0
100,random,128,0.85,0.9966666666666667,1.0,1.2333333333333334,1.0,0.38377513329188034,-0.10721635023752847,-0.048688801129659016,1.1318916569978121,0.9712497589759868,0.9865868432803836,3.953353679974874,3.559636680285136,3.6196131785710652,3.278452099959056,3.6891695777575175,0.4107174777984619,0.020541572570800783,0.03786285718282064,0.016329931618554536
100,oracle_svd,128,0.93,1.0,1.0,1.08,1.0,0.9410497188568115,-0.043471884727478025,0.07663044929504395,1.2311180451102726,0.9912349111956389,1.0143399488268316,5.857478032112121,5.503663086891175,5.565150928497315,4.531191725730896,5.481939992904663,0.950748267173767,0.06404266357421876,0.08064594268798828,0.0
